N.1,N.2,N.3,N.4,N.5,X.1,X.2,X.3,X.4,X.5,X.6,X.7,X.8,TT_N,M.1,M.2,M.3,M.4,M.5
0,0,0,NA,NA,1,0,0,1,0,0,0,0,3,,,,,
0,0,0,NA,NA,1,0,0,1,0,0,0,0,3,,,,,
0,0,0,NA,NA,1,0,0,1,0,0,0,0,3,,,,,
NA,NA,0,0,0,1,0,0,1,0,0,0,0,3,,,,,
NA,NA,0,0,0,1,0,0,1,0,0,0,0,3,,,,,
0,0,0,NA,NA,1,0,0,1,0,0,0,0,3,,,,,
0,0,0,NA,NA,1,0,0,1,0,0,1,0,3,,,,,
0,0,0,NA,NA,1,1,0,0,0,0,1,0,3,,,,,
0,0,0,NA,NA,1,1,0,0,0,0,0,1,3,,,,,
NA,NA,0,0,0,1,1,0,0,0,0,0,1,3,,,,,
0,0,0,NA,NA,1,1,0,0,0,0,0,1,3,,,,,
0,0,0,NA,NA,1,0,0,0,1,0,1,0,3,,,,,
0,0,0,NA,NA,1,0,0,0,1,0,0,0,3,,,,,
0,0,0,NA,NA,1,0,0,0,1,0,1,0,3,,,,,
0,0,0,NA,NA,1,0,0,0,1,0,0,1,3,,,,,
NA,NA,0,0,0,1,0,0,0,1,0,0,0,3,,,,,
0,0,0,NA,NA,1,0,0,0,0,1,1,0,3,,,,,
0,0,0,NA,NA,1,0,0,0,0,1,0,0,3,,,,,
0,0,0,NA,NA,1,0,0,0,0,1,0,0,3,,,,,
0,0,0,NA,NA,1,0,0,0,0,1,0,0,3,,,,,
0,0,0,NA,NA,1,0,0,0,0,1,0,1,3,,,,,
0,0,0,NA,NA,1,0,0,0,0,1,0,1,3,,,,,
0,0,0,NA,NA,1,0,0,0,0,1,1,0,3,,,,,
0,0,0,NA,NA,1,0,0,0,0,1,1,0,3,,,,,
NA,NA,0,0,0,1,0,0,0,0,1,0,1,3,,,,,
NA,0,0,0,0,1,0,0,1,0,0,0,0,4,,,,,
NA,0,0,0,0,1,0,0,1,0,0,1,0,4,,,,,
0,0,0,0,NA,1,0,0,0,1,0,1,0,4,,,,,
0,NA,0,0,0,1,0,0,0,1,0,0,1,4,,,,,
0,0,0,0,NA,1,0,0,0,1,0,1,0,4,,,,,
NA,0,0,0,0,1,0,0,0,1,0,0,0,4,,,,,
0,0,0,0,NA,1,0,0,0,1,0,1,0,4,,,,,
0,0,0,0,NA,1,0,0,0,1,0,0,0,4,,,,,
0,0,NA,0,0,1,0,0,0,1,0,1,0,4,,,,,
NA,0,0,0,0,1,0,0,0,1,0,1,0,4,,,,,
0,0,0,0,NA,1,0,0,0,0,1,0,0,4,,,,,
NA,0,0,0,0,1,0,0,0,0,1,0,0,4,,,,,
0,0,0,0,NA,1,0,0,0,0,1,0,1,4,,,,,
NA,0,0,0,0,1,0,0,0,0,1,0,0,4,,,,,
0,0,0,0,0,1,0,1,0,0,0,0,1,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,1,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,1,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,1,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,1,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,
0,0,0,0,0,1,1,0,0,0,0,0,1,5,,,,,
0,0,0,0,0,1,1,0,0,0,0,0,0,5,,,,,
0,0,0,0,0,1,1,0,0,0,0,1,0,5,,,,,
0,0,0,0,0,1,1,0,0,0,0,0,1,5,,,,,
0,0,0,0,0,1,1,0,0,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,1,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,1,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,1,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,1,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,1,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,1,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,1,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,1,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,0,0,1,5,,,,,
0,0,0,0,0,1,0,0,0,0,0,0,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,0,1,0,5,,,,,
0,0,0,0,0,1,0,0,0,0,0,1,0,5,,,,,
